before	after	id
BABAGGE	BABBAGE ( 1792 -1871 )	36
780-	780-mort	72
45 %	45 %	93
1988-1994	* 1988 -1994	105
1er	*1er	106
*1er	* 1 er	109
14	13	118
octobre	octobre2006	155
octobre2006	octobre 2006	156
24 novembre 2002	1er Octobre 2006	157
1950 ( source : Emmanuel	1950Emmanuel	162
52	53	163
7	34	168
2	33	169
